path,class,split
train/Bird-drop/Bird (111).jpg,Bird-drop,Test
train/Bird-drop/Bird (124).jpg,Bird-drop,Test
train/Bird-drop/Bird (159).jpg,Bird-drop,Test
train/Bird-drop/Bird (169).jpg,Bird-drop,Test
train/Bird-drop/Bird (177).jpg,Bird-drop,Test
train/Bird-drop/Bird (185).jpg,Bird-drop,Test
train/Bird-drop/Bird (205).JPG,Bird-drop,Test
train/Bird-drop/Bird (206).JPG,Bird-drop,Test
train/Bird-drop/Bird (208).JPG,Bird-drop,Test
train/Bird-drop/Bird (29).jpg,Bird-drop,Test
train/Bird-drop/Bird (3).jpg,Bird-drop,Test
train/Bird-drop/Bird (31).JPG,Bird-drop,Test
train/Bird-drop/Bird (66).jpg,Bird-drop,Test
train/Bird-drop/Bird (90).jpg,Bird-drop,Test
train/Bird-drop/Bird (91).jpg,Bird-drop,Test
train/Bird-drop/Bird (92).jpg,Bird-drop,Test
train/Bird-drop/Bird (94).jpg,Bird-drop,Test
train/Bird-drop/Bird (98).jpg,Bird-drop,Test
val/Bird-drop/Bird (122).jpg,Bird-drop,Test
test/Clean/Clean (142).jpg,Clean,Test
test/Clean/Clean (152).jpg,Clean,Test
test/Clean/Clean (191).jpg,Clean,Test
test/Clean/Clean (62).jpg,Clean,Test
train/Clean/Clean (102).jpg,Clean,Test
train/Clean/Clean (108).jpg,Clean,Test
train/Clean/Clean (123).jpg,Clean,Test
train/Clean/Clean (133).jpg,Clean,Test
train/Clean/Clean (154).jpg,Clean,Test
train/Clean/Clean (155).jpg,Clean,Test
train/Clean/Clean (162).jpg,Clean,Test
train/Clean/Clean (164).jpg,Clean,Test
train/Clean/Clean (166).jpg,Clean,Test
train/Clean/Clean (174).jpg,Clean,Test
train/Clean/Clean (180).jpg,Clean,Test
train/Clean/Clean (186).jpg,Clean,Test
train/Clean/Clean (192).jpg,Clean,Test
train/Clean/Clean (40).jpg,Clean,Test
train/Clean/Clean (45).jpg,Clean,Test
train/Clean/Clean (51).jpg,Clean,Test
train/Clean/Clean (54).jpg,Clean,Test
train/Clean/Clean (59).jpg,Clean,Test
train/Clean/Clean (7).jpg,Clean,Test
train/Clean/Clean (79).jpg,Clean,Test
train/Clean/Clean (81).jpg,Clean,Test
train/Clean/Clean (93).jpg,Clean,Test
val/Clean/Clean (117).jpg,Clean,Test
test/Dusty/Dust (46).jpg,Dusty,Test
test/Dusty/Dust (93).jpg,Dusty,Test
test/Dusty/Dust (96).jpg,Dusty,Test
test/Dusty/Dust (99).jpg,Dusty,Test
train/Dusty/Dust (1).jpg,Dusty,Test
train/Dusty/Dust (10).jpg,Dusty,Test
train/Dusty/Dust (101).jpg,Dusty,Test
train/Dusty/Dust (109).jpg,Dusty,Test
train/Dusty/Dust (110).jpg,Dusty,Test
train/Dusty/Dust (113).jpg,Dusty,Test
train/Dusty/Dust (114).jpg,Dusty,Test
train/Dusty/Dust (131).jpg,Dusty,Test
train/Dusty/Dust (132).jpg,Dusty,Test
train/Dusty/Dust (14).jpg,Dusty,Test
train/Dusty/Dust (153).jpg,Dusty,Test
train/Dusty/Dust (156).jpg,Dusty,Test
train/Dusty/Dust (157).jpg,Dusty,Test
train/Dusty/Dust (165).jpg,Dusty,Test
train/Dusty/Dust (168).jpg,Dusty,Test
train/Dusty/Dust (49).jpg,Dusty,Test
train/Dusty/Dust (63).jpg,Dusty,Test
train/Dusty/Dust (7).jpg,Dusty,Test
train/Dusty/Dust (73).jpg,Dusty,Test
train/Dusty/Dust (90).jpg,Dusty,Test
val/Dusty/Dust (21).jpg,Dusty,Test
val/Dusty/Dust (43).jpg,Dusty,Test
test/Electrical-damage/Electrical (103).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (1).png,Electrical-damage,Test
train/Electrical-damage/Electrical (110).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (129).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (141).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (16).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (24).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (42).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (6).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (60).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (98).jpg,Electrical-damage,Test
train/Electrical-damage/Electrical (99).jpg,Electrical-damage,Test
test/Physical-Damage/Physical (109).jpg,Physical-Damage,Test
test/Physical-Damage/Physical (149).jpg,Physical-Damage,Test
test/Physical-Damage/Physical (18).jpg,Physical-Damage,Test
test/Physical-Damage/Physical (49).jpg,Physical-Damage,Test
train/Physical-Damage/Physical (131).jpg,Physical-Damage,Test
train/Physical-Damage/Physical (32).jpg,Physical-Damage,Test
train/Physical-Damage/Physical (4).jpg,Physical-Damage,Test
train/Physical-Damage/Physical (43).jpg,Physical-Damage,Test
train/Physical-Damage/Physical (68).jpg,Physical-Damage,Test
train/Physical-Damage/Physical (83).jpg,Physical-Damage,Test
train/Snow-Covered/Snow (10).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (100).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (106).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (125).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (142).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (147).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (148).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (154).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (163).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (29).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (31).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (33).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (35).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (46).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (51).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (55).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (86).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (91).jpg,Snow-Covered,Test
train/Snow-Covered/Snow (92).jpg,Snow-Covered,Test
val/Snow-Covered/Snow (112).jpg,Snow-Covered,Test
val/Snow-Covered/Snow (139).jpg,Snow-Covered,Test
